birth_weight,femur_length,mother_age
2.96948929693,1.97915605326,16
4.03896293829,3.55568119774,16
5.30264328067,3.38563290356,15
6.08610660864,4.49542705624,17
5.74926036287,4.01743728517,16
6.04990316617,4.37889158456,15
5.42681579298,2.8518005755,17
6.23910322964,4.64574427708,16
5.34504951547,3.20765715162,17
4.16297458362,2.20239020343,16
5.27487188389,3.15653737285,16
5.57627684263,4.42260979415,15
5.49364519455,4.10115197621,16
6.66031744698,4.32829223618,16
4.79466786551,3.79690236166,16
5.98546785855,3.59528822664,15
4.62521953969,2.89420486042,17
5.60683336452,4.04229165716,16
4.52477222455,3.98956839177,17
6.31629850002,4.34395155651,15
5.59229009761,4.29827502052,16
6.23730155087,4.32844939432,15
5.19645533325,3.17804680726,16
4.61051961684,3.02154602216,15
4.38347209422,2.78235229283,16
5.00708475862,2.07372448362,16
4.10801731672,2.02072083176,16
5.18226898598,3.58182037999,15
3.91916624802,2.60680157156,16
5.89559639974,4.4430773707,15
4.64230422711,3.75100227628,15
5.6408840374,4.19042454383,15
3.97263167416,3.20216687363,15
5.27452300904,3.4222610693,16
5.6931016669,3.99617344457,17
4.31909877015,2.79374019245,15
6.05785975536,4.92252675343,15
5.4298877004,3.73730761773,16
6.00876416155,4.19935190745,17
6.15702446875,5.05860316463,15
5.7537305811,3.85355736939,16
6.43156454829,4.32753369837,16
5.234506976,3.2652430964,16
4.68815649708,2.57351765657,16
5.85440967675,4.66187475156,15
5.79408653555,4.17928754965,15
4.69735687487,2.41510016462,15
4.92690458156,2.97150428822,15
5.87608287847,4.58111172395,17
6.5156172092,4.58522547424,15
4.30982198435,3.9549545555,15
3.00870151922,1.71153196811,15
6.23639360317,4.15015617237,16
3.51976106157,2.35805905909,16
4.67071642571,4.69818597053,15
5.69711997952,3.35244787871,15
5.28232793328,3.37107252772,15
5.92000589626,4.21593070601,15
5.02821577115,3.90795619491,15
4.65102478292,2.42549680003,16
6.030251155,5.22115730364,16
5.31153386906,2.9383833595,15
5.59615976805,2.69406920183,15
5.00588854499,2.84432523444,15
7.22908686344,4.38073731878,16
4.41803942805,2.79218990837,15
5.60783728401,4.32081817391,15
5.11194862851,3.28955715611,15
3.57776442472,2.4476161616,16
3.40936920778,1.66092222547,15
3.91184073279,3.33989479488,16
4.15174779241,3.45823164074,16
4.76707041764,3.02596217445,15
5.86040838107,4.69489162753,16
5.46156648104,3.15607270667,15
5.84045184823,4.48584306535,15
4.56164368295,3.30845010985,17
4.26101927115,2.65086087232,15
5.79426477387,3.90964162778,16
6.3428616561,4.21521795078,16
6.10260575072,3.23183432272,15
4.8401025858,3.59670258025,15
3.77718659364,2.8005621805,16
