x,y
6.651384736037975198e-01,
8.477733884236671180e-03,1.084747855671665651e+00
8.325683824594236615e-01,
1.686443781502285910e-01,
6.528898037074012395e-01,5.440665998161038353e+00
9.397241686095628710e-01,1.591400649651652621e+00
1.152859343466997588e-01,
1.087837087850009876e-01,1.373792835886629149e+00
5.484789976176904780e-01,
6.328551529378574347e-01,4.376551763011793383e+00
7.942022937771879842e-01,
5.846619057043717094e-01,1.443312983619026380e+00
3.560302146779947829e-02,1.039373290264139715e+00
2.625247319072564478e-01,2.078731046943513849e+00
1.891326692600028281e-01,1.256477463307427822e+00
9.761046907902917180e-01,
7.809551285163858214e-01,
7.282010008226906805e-01,6.403041994465338504e+00
5.635355625061466700e-01,
7.296114097698591650e-03,
8.857428351523196630e-01,-9.794842576608981943e-01
9.662445608739511638e-01,3.844014871552874801e+00
3.067403937594489483e-01,4.115331444386191251e+00
7.877404261482608971e-01,5.476105409060802565e+00
4.864087134286337877e-01,4.782306594326292348e+00
8.800199993913820906e-01,3.126775926800628103e+00
8.742369887305788678e-01,7.708589472098775985e+00
5.788231070464029404e-01,
7.498013307913043990e-01,3.851898011466231786e+00
4.318987636052998846e-01,3.682767573412711215e+00
7.087857608769392304e-01,4.155523994102722440e+00
3.334083054061952600e-01,2.853952706205265422e+00
2.995958923475779967e-01,3.525202603378515320e+00
1.414614840200122403e-01,1.661893256578905964e+00
7.158433836869444455e-01,
7.737757683183462687e-01,8.005501897866357908e+00
7.537659005408346991e-01,3.259492013733072291e+00
5.022101348782860297e-01,2.549095948778567600e+00
7.082000755088779798e-02,1.925592396921086635e+00
5.810408814545797718e-02,1.344545302932354414e+00
5.893257127130234752e-01,3.040800148443625783e+00
9.223081822308754063e-01,4.907210311433220618e+00
6.218482743417658165e-01,
6.169190474300256799e-02,1.676606085541733071e+00
6.189945193392853984e-01,1.686615507168631289e+00
3.111542776575682012e-01,3.089513788325652932e+00
5.946555239396889014e-01,6.323450505375192598e+00
4.976417428619596128e-01,4.211464387934332976e+00
1.046621364366709939e-01,
8.961327524952124035e-01,
2.860606247806923852e-01,3.696156831563440548e+00
3.858983785619768403e-01,1.027509693917040723e+00
4.471702981418013145e-01,2.912016152073877429e+00
1.389807421160655920e-01,2.041078180521379792e+00
1.182723221856479823e-01,
3.354325388996802770e-01,
5.222259934066704190e-01,4.849001571630403795e+00
5.330645627561372280e-01,3.351332752627867784e+00
3.012154277836758265e-01,
4.966224699190744385e-01,
7.121956555655533094e-01,4.362236071301830442e+00
5.187362728150451963e-01,2.440147447147177573e+00
9.270526577205793206e-01,5.465757499111047579e+00
7.741782703025645862e-01,4.598806379761001928e+00
1.200417421154510444e-01,1.540079861819156903e+00
9.783072785131485816e-02,
9.725021565761630127e-01,4.820582552665601206e+00
3.769000928710410925e-01,2.964626319637881036e+00
5.355659975089910319e-01,2.807409139625137939e+00
6.654353514779607348e-01,
5.529579493551184388e-02,
2.412369019339167808e-01,
5.142461340814611370e-01,4.191606191851754204e+00
1.025988960113140003e-01,
2.152396245411278830e-01,2.492280203643317815e-01
8.903197736274091056e-01,
6.508247536229105901e-01,
5.073645269783507716e-01,
4.003168463696056278e-01,
5.654728419706085418e-01,2.504210564956350638e+00
6.126932483621627679e-02,
4.645257965835049019e-01,1.353127294442248996e+00
4.621958598271225238e-01,
7.916302665080225953e-01,
2.772276430823936710e-01,2.143462819726462687e+00
4.330763706169729055e-01,1.585261854997497277e+00
6.322905311887755397e-01,7.759504480663963477e+00
6.171354295229845022e-01,
3.786351091094617427e-01,
4.085290793472422521e-01,2.528821395194997823e+00
5.924258579627383892e-02,1.494602517004761211e+00
8.547080278460255087e-01,6.753306858189780826e+00
6.682355832304465171e-02,
5.539589757950590387e-01,4.255250611989542797e+00
3.237393521903292326e-01,
5.934324070825105490e-01,
2.746032774952196220e-01,1.405105346999829141e+00
5.466477304194348186e-01,2.033903800964094621e+00
4.198855260035921910e-01,3.764571599234804555e+00
8.808021689251378517e-01,2.430088002844842610e+00
3.537235127436122450e-02,1.291954190447709649e+00
1.542751411796281502e-01,1.665685389096893454e+00
7.526105502998470254e-01,3.987143895397000204e+00
6.318604380437453649e-01,9.975105910790036390e-01
2.920486514152892399e-01,2.591763023905125252e+00
4.576129928801631053e-03,
6.301664667251793972e-01,3.126911323918441177e+00
1.960972903725558547e-01,1.833792387010802161e+00
1.682198251684755563e-01,1.211733101367267196e+00
