x,y
1.774184656601187626e-01,1.401177953872820181e+00
5.730762588153321957e-01,
5.037746674261411872e-01,1.684924029949347979e+00
5.940268953822558373e-01,3.898208852507911715e+00
3.357543549767670887e-01,
4.877578073160863115e-01,
4.371771606915314523e-01,
3.936906643767486003e-01,2.845922341777832099e+00
8.093242919589143103e-01,
8.058071309807128824e-01,3.950043016034415544e+00
8.278642609876191161e-01,3.985370304336869118e+00
4.498704573375135185e-01,2.521343086196605743e+00
8.151240395412310269e-01,1.864667973549706925e+00
2.619202343299770197e-01,3.434821812529867735e+00
9.953578019755487949e-01,4.259835202173466229e+00
8.360262608776869442e-03,-8.481853313642073733e-01
5.192595079871561436e-01,
8.744515985044767348e-01,2.514076320725687097e+00
1.022267979611776179e-01,1.646046790824499340e+00
9.518075979480138393e-01,4.313526437340392761e+00
7.724901723920647445e-01,2.249004582229233495e+00
4.166901277332240028e-01,3.180013557988027095e+00
3.376027384461129932e-01,2.866363527797514354e+00
8.859393889840633252e-01,
1.126625759446560071e-01,
9.076324345372897007e-01,
8.948376453849099521e-01,
7.068046231557620906e-01,3.877119266976569278e+00
8.286339038384971101e-01,2.861091517036851606e+00
1.440915056981787457e-01,
4.818925407236831493e-01,1.658989738340991504e+00
5.117434495445827292e-02,7.789263949121635333e-01
9.523449382415827280e-02,1.798270171916403370e+00
7.374809175965590935e-02,2.281014712976334291e+00
7.533986878477239024e-01,2.095168430438454354e+00
7.114025654166735713e-01,
6.294193775004924829e-01,
1.162786954067730472e-01,-3.768163693703505679e-01
6.289222535906465739e-01,
6.692356220951493073e-01,2.614621477247999426e+00
1.916533082218074835e-01,1.441096937932312638e+00
2.286446720841499580e-01,-5.022632174521881598e-01
2.421772171607768920e-01,2.055696077454089554e+00
9.615312834968747779e-01,4.597535883764062525e+00
8.685727262012252758e-01,1.845908336503863989e+00
1.960056841112606252e-01,
4.568789804627716444e-01,
6.568405967441036664e-01,3.087457987976473639e+00
7.550104369617262057e-01,3.073908598300524542e+00
1.905224687421094298e-01,3.459283143564288565e+00
7.513886960986744246e-01,4.669903146457790477e+00
4.045293699379262087e-01,2.368428512059927993e+00
8.225512769379220712e-01,4.144171576888806996e+00
6.518301456175659148e-01,4.336941183238533171e+00
1.746133059399219700e-01,
5.768761437012103199e-01,2.704094959325379133e+00
8.834994445580384159e-01,2.075061471161882221e+00
3.018834003984584013e-01,
3.146021274078095731e-01,1.563925864314126501e+00
8.986420355390805081e-01,2.844824964655402688e+00
7.679155464481176585e-01,1.428659466892318708e+00
1.366654726561562505e-01,6.991575990768664761e-01
9.819212597435467149e-02,
9.954789753316904966e-01,
4.581743059947696040e-01,
3.801509159116742698e-01,1.692908855064151119e+00
3.413078341450903608e-01,1.705637699447951849e+00
8.398876439322412457e-01,
1.619836350656974622e-01,2.715171950068338447e+00
8.769295151589012738e-01,4.988290077390936439e+00
5.188555781676400525e-01,2.966002882745712554e+00
7.782983149303791537e-01,1.438094967665682455e+00
5.104697328089801145e-01,1.882921922386306957e+00
5.417641198833484939e-01,2.664747585959469145e+00
6.801934811199482622e-01,4.255228560884622091e+00
3.777018870248942672e-01,2.603896410219082913e+00
4.836244479261315732e-01,
9.871548477932250432e-01,
7.933554291817672688e-01,
1.795803605952847048e-01,
7.792418715141071761e-01,3.604809914304215823e+00
7.491110651018715316e-01,3.707202824185904078e+00
9.118887713344580037e-01,3.705379110302442491e+00
6.046692373559886535e-01,3.336363619603292197e+00
2.899264062898528893e-01,1.834128844668306835e+00
8.054566101081513940e-01,
2.820489641648920021e-01,4.116056481768512576e+00
8.041656619621083690e-01,3.901983928186299355e+00
2.423191912659253822e-01,
8.105105462813738670e-01,2.847279998575569682e+00
8.073537754836264124e-01,1.415086691323078849e+00
1.742171968519767855e-01,
1.220636515230517638e-01,5.364474242510918200e-01
4.255207019402520441e-01,3.412050421960098667e+00
4.365329721084866277e-01,
3.807055381756694334e-01,2.111412360062637550e+00
9.875236367155180162e-01,4.268047042080024056e+00
8.270545342551653967e-01,
4.849091503652731561e-01,3.291405935874129440e+00
8.632240038542280391e-01,4.904342759642526417e+00
8.967097254347365931e-01,1.666706162405483749e+00
4.384404056254754822e-01,
3.526673011678077563e-01,
8.901316197487787463e-01,
1.518084641179235916e-01,2.337249781707207319e+00
1.829679976822016219e-01,2.964135909347287434e-01
1.479362555544783131e-01,1.513376975309915773e+00
5.845886183779136491e-01,2.621710785701186985e+00
8.842771554592196992e-01,2.929292920871284789e+00
9.367088336711402174e-01,3.074648994168793781e+00
8.348791077538593175e-01,3.310500944535395895e+00
6.937785131675235917e-01,5.306250001313478570e+00
8.749850345716984057e-01,
3.077850013580865074e-01,9.780307726615776742e-01
5.434704650257000669e-01,
6.091079733773568927e-01,4.034202920672042225e+00
4.578521824550847441e-01,2.743579261172619521e+00
5.994298482890683122e-01,2.993409777457382681e+00
5.424115024709432742e-01,2.505501402030545499e+00
9.955506794497795964e-01,2.520482442200066675e+00
1.748380710508636859e-01,1.865503970662469868e+00
7.278972596962924868e-01,3.672937861791756298e+00
