x,y
2.137600000000000056e-01,8.715300000000000269e-01
2.980999999999999761e-01,6.692799999999999860e-01
7.683400000000000230e-01,1.179300000000000015e+00
5.011499999999999844e-01,
9.094600000000000461e-01,
5.785300000000000165e-02,1.644200000000000106e+00
4.367500000000000271e-01,
5.722500000000000364e-01,
5.650699999999999612e-01,
8.238199999999999967e-01,1.639199999999999990e+00
1.260999999999999899e-01,1.825299999999999923e+00
3.001199999999999979e-01,8.735100000000000087e-01
2.122000000000000188e-03,
9.511100000000000110e-01,
7.662999999999999812e-01,
7.512999999999999678e-01,1.022599999999999953e+00
1.388600000000000112e-01,
3.493200000000000194e-01,
1.513400000000000023e-01,
4.967199999999999949e-01,
8.086499999999999799e-01,
6.328700000000000436e-01,1.372100000000000097e+00
6.884000000000000119e-01,1.254999999999999893e+00
6.395699999999999719e-01,1.440800000000000081e+00
7.293199999999999683e-01,9.881199999999999983e-01
8.598500000000000032e-01,1.504899999999999904e+00
6.269599999999999618e-01,1.213899999999999979e+00
1.805900000000000005e-01,1.313600000000000101e+00
5.733099999999999863e-01,1.849299999999999944e+00
1.635699999999999932e-01,9.875199999999999534e-01
9.060500000000000220e-01,
7.734299999999999509e-02,1.441599999999999993e+00
3.385299999999999976e-01,4.365399999999999836e-01
5.806200000000000250e-01,
4.752399999999999958e-01,1.888099999999999890e+00
8.053200000000000358e-01,
5.307800000000000296e-01,1.917200000000000015e+00
2.273100000000000120e-01,1.090500000000000025e+00
7.094799999999999995e-01,
1.486300000000000121e-01,1.318000000000000060e+00
6.581200000000000383e-01,1.006999999999999895e+00
6.339799999999999880e-01,
2.293100000000000138e-01,7.980699999999999461e-01
1.822300000000000031e-01,8.505099999999999882e-01
1.663499999999999979e-01,1.391100000000000003e+00
1.496099999999999930e-01,1.459699999999999998e+00
2.027500000000000135e-01,9.291700000000000514e-01
9.549600000000000311e-01,
1.590799999999999853e-02,6.652299999999999880e-01
9.575099999999999723e-01,
2.569199999999999956e-02,
9.711100000000000287e-01,2.203800000000000203e+00
2.975999999999999757e-01,5.081099999999999506e-01
5.250700000000000367e-01,2.207199999999999829e+00
8.623399999999999954e-01,1.828300000000000036e+00
8.963999999999999746e-01,2.193999999999999950e+00
1.890100000000000113e-01,1.254699999999999926e+00
6.607199999999999740e-01,
9.412300000000000111e-01,2.279500000000000082e+00
9.757099999999999662e-01,
1.079399999999999943e-01,1.174500000000000099e+00
1.789000000000000035e-01,1.527099999999999902e+00
7.465500000000000469e-01,
4.946899999999999908e-02,9.574599999999999778e-01
7.128500000000000114e-02,1.531700000000000061e+00
4.891300000000000092e-01,1.960299999999999931e+00
8.498900000000000343e-01,2.081900000000000084e+00
9.970400000000000373e-01,
4.392599999999999977e-03,1.165200000000000014e+00
5.426100000000000367e-01,1.875099999999999989e+00
8.613499999999999490e-01,1.541900000000000048e+00
9.091399999999999482e-01,
8.453500000000000458e-01,
8.788700000000000401e-01,2.326600000000000001e+00
7.461799999999999544e-01,
1.174899999999999972e-01,1.386100000000000110e+00
5.090200000000000280e-01,1.665799999999999947e+00
1.688300000000000078e-01,
8.311100000000000154e-01,1.402099999999999902e+00
9.280100000000000016e-01,
1.694799999999999918e-01,
8.837399999999999700e-01,2.157200000000000006e+00
3.878599999999999826e-01,6.986900000000000333e-01
3.825700000000000212e-01,1.223600000000000021e+00
2.714500000000000246e-01,2.300000000000000100e-01
8.678799999999999848e-01,
7.415000000000000480e-01,
4.478699999999999903e-01,
7.096400000000000485e-01,8.468299999999999716e-01
9.443300000000000027e-01,2.366000000000000103e+00
1.741199999999999970e-01,
2.446000000000000119e-01,7.873299999999999743e-01
6.409299999999999997e-01,7.829599999999999893e-01
8.086100000000000509e-01,
8.533699999999999619e-01,1.760499999999999954e+00
3.981199999999999739e-01,1.268499999999999961e+00
1.154899999999999954e-01,1.079099999999999948e+00
8.028100000000000513e-02,1.482799999999999896e+00
3.604700000000000126e-01,8.751900000000000235e-01
8.289100000000000357e-01,1.445000000000000062e+00
